SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
-6.5599519,.71911336,.30301042,.43066282,.12634782,.21081257,.48978423,.15326596,.57990540,.42997619,.33991372,.42807999,.23519833,.49230658,.30022422,.41476534,.34361073
-8.1288126,.60117657,.25422466,.40826057,.29507944,.15666287,.36900190,.40063054,.32314825,.42175991,.25117241,.56439193,.22807883,.68105526,.35575479,.52481034,.33919632
-7.4472796,.32105843,.24899498,.28267148,.12693921E-01,.40360692,.38202939,.43015940,.84647651,.33516935,.23608044,.60916607,.24770514,.78875460,.32531033,.50915378,.64235823
-11.018343,.81849315,.35954820,.32572862,.12338946,.28882133,.50445186,.44853979,.77952366,.37152223E-01,.35855837,.66557928,.27026153,.60805001E-01,.21699537,.87008695E-01,.54389728
-10.507258,.80931342,.35068193,.42686994,.16664079,.19208691,.40289957,.15520445,.55040458,.60536843,.31780938,.24567408,.16301307,.61233149,.10482849,.34037544,.69574344
-13.331903,.57186425,.18154159,.49764529,.13818846,.29221817,.53626697,.13696376,.38326766,.33707215,.27188114,.29351100,.18230687,.36311514,.34092539,.85619128E-01,.65466834
-8.0205354,.65630405,.29550685,.45992315,.24896277,.22338343,.44362425,.10778689,.49031800,.47930085,.37388016,.44510329,.14046471,.91554647,.13097793,.46673479,.45186855
-7.8945331,.49931232,.23776231,.61532979,.31914846,.18514145,.37331659,.17527028E-02,.29305349,.37958865,.27522245,.57853045,.19550904,.80899494,.47176193,.38497201,.37113493
-6.3223717,.46019186,.18317651,.42166760,.16212760,.30686996,.50496537,.94387628E-01,.30097489,.27073556,.45329756,.57593170,.10387344,.83702044,.55495884,.30539078,.77782659
-10.288252,.27334160,.28231292,.39548972,.18122621,.26605689,.52319449,.40196124,.68205525,.33961826E-01,.62639452,.70667423,.10820445E-01,.83168084,.42887050,.38607537,.75504657
-6.8597807,.17959031,.24853003,.53594919,.33731302,.18665242,.54213746,.76859384E-01,.67565159,.23911065,.46402956,.56774369,.18475648,.68748514,.20653716,.24052787,.46120689
-9.7895758,.41281120,.23151809,.53225794,.25283327,.40409063,.53620152,.25774953E-02,.36857195,.18073868,.22147432,.63121633,.35324303,.56829677,.55503414,.23163081,.58508113
-7.8748133,.51053435,.27204691,.51291945,.35894398,.44252532E-01,.40057983,.31947572,.51976858,.37697134,.34426624,.53657717,.23413654,.69096193,.17749947,.53631924,.58803279
-7.0036597,.40431842,.24896686,.38583253,.13800642,.22082783,.28200467,.36623172,.83176966,.87009211,.48583272,.22047120,.35819276E-01,.79070657,.33958710,.33705273,.81396650
-8.6730949,.92563096E-02,.20803078,.47157835,.23950006,.19118203,.32267370,.47991205,.63705691,.18137487,.50394810,.64518457,.12861453,.65983148,.29295529,.20247339,.45105451
-10.379963,.54652841,.26769131,.20008470,.11504741,.16252347,.34020139,.68407763,.89595671E-02,.26320424,.15048511,.82712070,.25457378,.97253347,.32746451,.31528715,.44166447
-9.1774332,.45706365,.24139323,.55772816,.30358966,.16692322,.65254470,.74299156E-02,.29240092E-01,.42634517,.54104736,.28203014,.59891495E-01,.43126600,.45860144,.31077250,.19542208
-5.5545587,.51880749,.27833818,.26335472,.43433245E-01,.34672712,.48038025,.56005695,.64274570,.69383191E-01,.31980819,.63253781,.26390532,.48526618,.49156577,.37091554,.80972894
-5.6959008,.39017883,.19901982,.61154107,.33683949,.23934603,.28014325,.11006487,.56120698,.43361040,.25174824,.58426897,.18135737,.97572805,.28947156,.20903796,.58177143
-8.8917835,.39466065,.31332241,.26612446,.14538963,.17874267,.46701798,.56851297,.92619567,.27802120,.60154770,.45095678,.77023148E-01,.48774260,.19942611,.31533628,.60444805
-6.1712234,.46174499,.23597183,.35532098,.52844403E-01,.43567206,.56250106,.47212900,.64334322,.55042836E-01,.39603979,.41556308,.20337812,.17917034E-02,.40717727,.18663141,.76375963
-11.669879,.37130268,.31392175,.52410584,.33451055,.29588336,.40646741,.24825073,.87379324,.77945407E-01,.18545700,.69612382,.34037912,.39676753,.41572810,.24155724,.49490550
-8.4750950,.51037493,.23524359,.33705086,.18164279,.19547318,.51650489,.35664258,.28888105,.41365550,.53656401,.43108256,.11310837,.62620601,.29350286,.48237341,.85271928
-9.3890251,.14090757,.18895925,.25642534,.23194494,.29449335,.39380765,.62786453,.42773869E-01,.10691569,.12368608,.75728811,.22907462,.95085141,.46119904,.25246736,.35255660
